v       e           E        	D
500     52665       1           0.009999913231727685
600     76089       2           0.01999895884848572
700     103309      3           0.029998438272728578
800     134690      5           0.04999182089236027
900     171224      7           0.06998724838317136
1000    210631      9           0.08999276883059279
1100    255043      12          0.11998553495986722
1200    303109      15          0.14681120990283852
1300    356951      18          0.17992507804045874
1400    412642      21          0.20984861310554992
1500    475051      25          0.24983585901329539
1600    539326      30          0.39407959018992
1700    610073      33          0.32997357188043847
1800    683761      37          0.369970435531213
1900    761291      42          0.41995469011260345
2000    843528      47          0.469624738164194
